,text,sentiment,label
0,"id have responded, if i be go",neutral,0
1,sooo sad i will miss you here in san diego!!!,negative,-1
2,my boss be bully me...,negative,-1
3,what interview! leave me alone,negative,-1
4,"sons of ****, why couldnt they put them on the release we already buy",negative,-1
5,http://www.dothebouncy.com/smf - some shameless plug for the best rangers forum on earth,neutral,0
6,2am feed for the baby be fun when he be all smile and coo,positive,1
7,soooo high,neutral,0
8,both of you,neutral,0
9,journey!? wow... u just become cooler. hehe... (is that possible!?),positive,1
10,"as much as i love to be hopeful, i reckon the chance be minimal =p im never gonna get my cake and stuff",neutral,0
11,i really really like the song love story by taylor swift,positive,1
12,my sharpie be run dangerously low on ink,negative,-1
13,i want to go to music tonight but i lose my voice.,negative,-1
14,test test from the lg env2,neutral,0
15,"uh oh, i be sunburn",negative,-1
16,"sok, try to plot alternatives as we speak *sigh*",negative,-1
17,"ive be sick for the past few days and thus, my hair look wierd. if i didnt have a hat on it would look... http://tinyurl.com/mnf4kw",negative,-1
18,be back home now gonna miss every one,negative,-1
19,hes just not that into you,neutral,0
20,"oh marly, im so sorry!! i hope you find her soon!! <3 <3",neutral,0
21,play ghost online be really interesting. the new update be kirin pet and metamorph for third job. cant wait to have a dragon pet,positive,1
22,be clean the house for her family who be comming later today..,neutral,0
23,gotta restart my computer .. i think win7 be suppose to put an end to the constant rebootiness,neutral,0
24,see wat i mean bout foll0w friidays... its call lose f0llowers friday... smh,neutral,0
25,"the free fillin app on my ipod be fun, im addict",positive,1
26,im sorry.,negative,-1
27,on the way to malaysia...no internet access to twit,negative,-1
28,juss come backk from berkeleyy ; omg its madd fun out there havent be out there in a minute . whassqoodd ?,positive,1
29,go to sleep and there be a power cut in noida power back up not work too,negative,-1
30,im go home now. have you see my new twitter design? quite....heavenly isn****?,positive,1
31,i hope unni will make the audition . fight dahye unni !,positive,1
32,if it be any consolation i get my bmi test hahaha it say i be obesed well so much for be unhappy for about 10 minutes.,negative,-1
33,thats very funny. cute kids.,positive,1
34,"ahhh, i sleep through the game. im gonna try my best to watch tomorrow though. i hope we play army.",neutral,0
35,"thats it, its the end. tear for fear vs eric prydz, dj hero http://bit.ly/2hpbg4",neutral,0
36,bear and raise in nyc and live in texas for the past 10 years! i still miss ny,negative,-1
37,"just in case you wonder, we be really busy today and this come with with add tons of new blog and update stay tune",neutral,0
38,im soooooo sleeeeepy!!! the last day o school be today....sniffle....,negative,-1
39,"a little happy for the wine jeje ok itsm my free time so who cares, jaja i love this day",positive,1
40,"car not happy, big big dent in boot! hop theyre not go to write it off, cross finger and wait",neutral,0
41,im an avid fan of **** magazine and i love your magazines,positive,1
42,mayday?!,neutral,0
43,"ratt rock nashville tonite..one thing sucked, no encore! like in the 80s they still have a fun show. pearcy have that hott bad boy look",neutral,0
44,i love to! but im only available from 5pm. and where dear? would love to help convert her vids.ï¿½,positive,1
45,the girl in the hair salon ask me 'shall i trim your eyebrows!' how old do i feel?,neutral,0
46,egh blah and boooooooooooo i dunno wanna go to work hangovers suckkkkkk im a drink mess!,negative,-1
47,:visiting my friendster and facebook,neutral,0
48,"i donbt like to peel prawns, i also dont like go shopping, run out of money and crawl round the car look for more",negative,-1
49,which case? i get a new one last week and im not thrill at all with mine.,negative,-1
50,then you should check out http://twittersucks.com and connect with other tweeple who hate twitter,neutral,0
51,"also bore at school, its my third freelesson( freistunde )",neutral,0
52,hm... both of us i guess...,neutral,0
53,it be ****...u have dissappointed me that past few days,negative,-1
54,romance zero be funny,positive,1
55,id rather do the early run..but i be a morning runner,neutral,0
56,bah a coworker run into work late and her bag smack into my knee it really hurt now,negative,-1
57,will be back later. http://plurk.com/p/rp3k7,neutral,0
58,aw. tear ace of hearts #hunchback,negative,-1
59,what fun be you speak of?,neutral,0
60,"i lose all my friends, im alone and sleepy..i wanna go home",negative,-1
61,haha yes,neutral,0
62,i give in to easily,negative,-1
63,what better way to spoil mum than to let her kick back and relax over a nice meal and a bottle of her favorite wine? our wine be a red,positive,1
64,mannnn..... _ get an iphone!!! im jealous.... http://bit.ly/ngnar,negative,-1
65,be at a photoshoot.,neutral,0
66,hes awesome... have you work with him before? hes a good friend.,positive,1
67,yay play a show tonight! boo its gonna soggy and im at work right before play,neutral,0
68,chilliin,positive,1
69,"if you know such agent, do let me know",neutral,0
70,i still smell of smoke #kitchenfire,neutral,0
71,a celtics-lakers rematch sound better dont you think? lol,positive,1
72,"anyone have an extra keane ticket? i promise to buy you a drink and take rad pics for your fb / blog / flickr., etc",neutral,0
73,"'you can ride one, you can catch one, but its not summer til you pop open one' ?",neutral,0
74,she be good! so gor-juz yea i kno i ask her yesterday when we be at tha hospital if she talk to u and she say no,neutral,0
75,ok - im out of here for now. just pop in to say hi and check on things. ill probably head to the guttah later on tonight,neutral,0
76,"wow, i be really missin the fam(ily) today. baddd.",negative,-1
77,my source say no,neutral,0
